membership:pair_set_id	pair_id
TSCA1213	AA34-Tumor-SM-D4L25_NA_TN
TSCA1213	AA34-Tumor-SM-D4L25_NA_TP
TSCA1213	AA36-Tumor-SM-D4L2H_NA_TN
TSCA1213	AA36-Tumor-SM-D4L2H_NA_TP
TSCA1213	AA39-Tumor-SM-D4L3Q_NA_TN
TSCA1213	AA39-Tumor-SM-D4L3Q_NA_TP
TSCA1213	AA40-Tumor-SM-D4L42_NA_TN
TSCA1213	AA40-Tumor-SM-D4L42_NA_TP
TSCA1213	AB044-Tumor-SM-D4L2M_NA_TN
TSCA1213	AB044-Tumor-SM-D4L2M_NA_TP
TSCA1213	ANGMCSS-Tumor-SM-D4L2G_NA_TN
TSCA1213	ANGMCSS-Tumor-SM-D4L2G_NA_TP
TSCA1213	BT1008-Tumor-SM-D4L45_NA_TN
TSCA1213	BT1008-Tumor-SM-D4L45_NA_TP
TSCA1213	BT922-Tumor-SM-D4L1W_NA_TN
TSCA1213	BT922-Tumor-SM-D4L1W_NA_TP
TSCA1213	BT923-Tumor-SM-D4L3W_NA_TN
TSCA1213	BT923-Tumor-SM-D4L3W_NA_TP
TSCA1213	BT950-Tumor-SM-D4L48_NA_TN
TSCA1213	BT950-Tumor-SM-D4L48_NA_TP
TSCA1213	BT961-Tumor-SM-D4L3C_NA_TN
TSCA1213	BT961-Tumor-SM-D4L3C_NA_TP
TSCA1213	BT972-Tumor-SM-D4L3Y_NA_TN
TSCA1213	BT972-Tumor-SM-D4L3Y_NA_TP
TSCA1213	CHLA200-Tumor-SM-CNN37_NA_TN
TSCA1213	CHLA200-Tumor-SM-CNN37_NA_TP
TSCA1213	CO001-Tumor-SM-D4L3V_NA_TN
TSCA1213	CO001-Tumor-SM-D4L3V_NA_TP
TSCA1213	CO002-Tumor-SM-D4L47_NA_TN
TSCA1213	CO002-Tumor-SM-D4L47_NA_TP
TSCA1213	CO003-Tumor-SM-D4L1Y_NA_TN
TSCA1213	CO003-Tumor-SM-D4L1Y_NA_TP
TSCA1213	CO004-Tumor-SM-D4L3B_NA_TN
TSCA1213	CO004-Tumor-SM-D4L3B_NA_TP
TSCA1213	CO005-Tumor-SM-D4L2P_NA_TN
TSCA1213	CO005-Tumor-SM-D4L2P_NA_TP
TSCA1213	CO006-Tumor-SM-D4L7Q_NA_TN
TSCA1213	CO006-Tumor-SM-D4L7Q_NA_TP
TSCA1213	CO007-Tumor-SM-D4L49_NA_TN
TSCA1213	CO007-Tumor-SM-D4L49_NA_TP
TSCA1213	COGAR359-Tumor-SM-CNN4H_NA_TN
TSCA1213	COGAR359-Tumor-SM-CNN4H_NA_TP
TSCA1213	COGH430-Tumor-SM-CNN2V_NA_TN
TSCA1213	COGH430-Tumor-SM-CNN2V_NA_TP
TSCA1213	CY004-Tumor-SM-D4L3I_NA_TN
TSCA1213	CY004-Tumor-SM-D4L3I_NA_TP
TSCA1213	CY007-Tumor-SM-D4L2V_NA_TN
TSCA1213	CY007-Tumor-SM-D4L2V_NA_TP
TSCA1213	CY010-Tumor-SM-D4L2Z_NA_TN
TSCA1213	CY010-Tumor-SM-D4L2Z_NA_TP
TSCA1213	DW027-Tumor-SM-CJX4Z_NA_TN
TSCA1213	DW027-Tumor-SM-CJX4Z_NA_TP
TSCA1213	DW031-Tumor-SM-CJX51_NA_TN
TSCA1213	DW031-Tumor-SM-CJX51_NA_TP
TSCA1213	DW031-Tumor-SM-CJX52_NA_TN
TSCA1213	DW031-Tumor-SM-CJX52_NA_TP
TSCA1213	DW032-Tumor-SM-CJX53_NA_TN
TSCA1213	DW032-Tumor-SM-CJX53_NA_TP
TSCA1213	DW033-Tumor-SM-CJX54_NA_TN
TSCA1213	DW033-Tumor-SM-CJX54_NA_TP
TSCA1213	EH014-Tumor-SM-D4L26_EH014-Normal-SM-D4L46_TN
TSCA1213	EH014-Tumor-SM-D4L26_NA_TP
TSCA1213	EH014-Tumor-SM-D4L1T_EH014-Normal-SM-D4L27_TN
TSCA1213	EH014-Tumor-SM-D4L1T_NA_TP
TSCA1213	EH014-Tumor-SM-D4L2W_EH014-Normal-SM-D4L46_TN
TSCA1213	EH014-Tumor-SM-D4L2W_NA_TP
TSCA1213	EH015-Tumor-SM-D4L1Z_EH015-Normal-SM-D4L2L_TN
TSCA1213	EH015-Tumor-SM-D4L1Z_NA_TP
TSCA1213	EH015-Tumor-SM-D4L2X_EH015-Normal-SM-D4L2L_TN
TSCA1213	EH015-Tumor-SM-D4L2X_NA_TP
TSCA1213	EH015-Tumor-SM-D4L3A_EH015-Normal-SM-D4L2L_TN
TSCA1213	EH015-Tumor-SM-D4L3A_NA_TP
TSCA1213	EH015-Tumor-SM-D4L2B_EH015-Normal-SM-D4L2J_TN
TSCA1213	EH015-Tumor-SM-D4L2B_NA_TP
TSCA1213	GIMEN-Tumor-SM-D4L3E_NA_TN
TSCA1213	GIMEN-Tumor-SM-D4L3E_NA_TP
TSCA1213	H103-Tumor-SM-D4L41_NA_TN
TSCA1213	H103-Tumor-SM-D4L41_NA_TP
TSCA1213	H157-Tumor-SM-D4L34_NA_TN
TSCA1213	H157-Tumor-SM-D4L34_NA_TP
TSCA1213	HG002-Tumor-SM-D4L3T_NA_TN
TSCA1213	HG002-Tumor-SM-D4L3T_HG002-Tumor-SM-DHZ4W_TP
TSCA1213	HG008-Tumor-SM-D4L3O_NA_TN
TSCA1213	HG008-Tumor-SM-D4L3O_NA_TP
TSCA1213	HG009-Tumor-SM-D4L3D_NA_TN
TSCA1213	HG009-Tumor-SM-D4L3D_NA_TP
TSCA1213	HG019-Tumor-SM-D4L3Z_NA_TN
TSCA1213	HG019-Tumor-SM-D4L3Z_NA_TP
TSCA1213	HG020-Tumor-SM-D4L2Q_NA_TN
TSCA1213	HG020-Tumor-SM-D4L2Q_NA_TP
TSCA1213	JL54-Tumor-SM-D4L2D_JL54-Normal-SM-D4L3X_TN
TSCA1213	JL54-Tumor-SM-D4L2D_NA_TP
TSCA1213	JL58-Tumor-SM-D4L32_JL58-Normal-SM-DNUN8_TN
TSCA1213	JL58-Tumor-SM-D4L32_JL58-Normal-SM-D4L4B_TP
TSCA1213	JNT100-Tumor-SM-D1849_NA_TN
TSCA1213	JNT100-Tumor-SM-D1849_NA_TP
TSCA1213	JNT101-Tumor-SM-D184A_NA_TN
TSCA1213	JNT101-Tumor-SM-D184A_NA_TP
TSCA1213	JNT102-Tumor-SM-D184B_NA_TN
TSCA1213	JNT102-Tumor-SM-D184B_NA_TP
TSCA1213	JNT103-Tumor-SM-D184C_NA_TN
TSCA1213	JNT103-Tumor-SM-D184C_NA_TP
TSCA1213	JNT104-Tumor-SM-D184D_NA_TN
TSCA1213	JNT104-Tumor-SM-D184D_NA_TP
TSCA1213	JNT105-Tumor-SM-D184E_NA_TN
TSCA1213	JNT105-Tumor-SM-D184E_NA_TP
TSCA1213	JNT106-Tumor-SM-D184F_NA_TN
TSCA1213	JNT106-Tumor-SM-D184F_NA_TP
TSCA1213	JNT107-Tumor-SM-D184G_NA_TN
TSCA1213	JNT107-Tumor-SM-D184G_NA_TP
TSCA1213	JNT108-Tumor-SM-D184H_NA_TN
TSCA1213	JNT108-Tumor-SM-D184H_NA_TP
