membership:pair_set_id	pair_id
TSCA21_TN	CCLF_PEDS1044-Tumor-SM-GBJ9M_CCLF_PEDS1044-Normal-SM-GL7MY_TN
TSCA22_TN	AA53-Tumor-SM-GL7LQ_NA_TN
TSCA22_TN	AA61-Tumor-SM-GL7LF_NA_TN
TSCA22_TN	CCLF_AA1005-Tumor-SM-GL7NT_NA_TN
TSCA22_TN	CCLF_AA1005-Tumor-SM-GL7LE_NA_TN
TSCA22_TN	CCLF_AA1024-Tumor-SM-GL7LL_NA_TN
TSCA22_TN	CCLF_AA1001-Tumor-SM-GL7N2_NA_TN
TSCA22_TN	CCLF_AA1038-Tumor-SM-GL7NJ_NA_TN
TSCA22_TN	CCLF_AA1040-Tumor-SM-GL7MW_NA_TN
TSCA22_TN	CCLF_AB1004-Tumor-SM-GL7M3_NA_TN
TSCA22_TN	CCLF_AB1013-Tumor-SM-GL7MQ_NA_TN
TSCA22_TN	CCLF_AB1016-Tumor-SM-GL7LD_NA_TN
TSCA22_TN	CCLF_AB1017-Tumor-SM-GL7MG_NA_TN
TSCA22_TN	CCLF_AB1018-Tumor-SM-GL7NF_NA_TN
TSCA22_TN	CCLF_AB1027-Tumor-SM-GL7LO_NA_TN
TSCA22_TN	CCLF_AB1028-Tumor-SM-GL7NV_NA_TN
TSCA22_TN	CCLF_AB1027-Tumor-SM-GL7LI_NA_TN
TSCA22_TN	CCLF_AB1030-Tumor-SM-GL7LV_NA_TN
TSCA22_TN	CCLF_AB1031-Tumor-SM-GL7M8_NA_TN
TSCA22_TN	CCLF_AB1032-Tumor-SM-GL7NW_NA_TN
TSCA22_TN	CCLF_KL1023-Tumor-SM-GL7LG_NA_TN
TSCA22_TN	CCLF_KL1051-Tumor-SM-GL7NR_NA_TN
TSCA22_TN	CCLF_KL1051-Tumor-SM-GL7NH_NA_TN
TSCA22_TN	CCLF_KL1058-Tumor-SM-GL7NK_NA_TN
TSCA22_TN	CCLF_KL1073-Tumor-SM-GL7LP_NA_TN
TSCA22_TN	CCLF_KL1075-Tumor-SM-GL7MF_NA_TN
TSCA22_TN	CCLF_KL1076-Tumor-SM-GL7M7_NA_TN
TSCA22_TN	CCLF_KL1077-Tumor-SM-GL7N3_NA_TN
TSCA22_TN	CCLF_KL1082-Tumor-SM-GL7NP_NA_TN
TSCA22_TN	CCLF_KL1089-Tumor-SM-GL7MU_NA_TN
TSCA22_TN	CCLF_KL1091-Tumor-SM-GL7MP_NA_TN
TSCA22_TN	CCLF_KL1094-Tumor-SM-GL7MR_NA_TN
TSCA22_TN	CCLF_KL1094-Tumor-SM-GL7M6_NA_TN
TSCA22_TN	CCLF_KL1095-Tumor-SM-GL7MS_NA_TN
TSCA22_TN	CCLF_KL1097-Tumor-SM-GL7M4_NA_TN
TSCA22_TN	CCLF_KL1103-Tumor-SM-GL7N8_NA_TN
TSCA22_TN	CCLF_KL1104-Tumor-SM-GL7MV_NA_TN
TSCA22_TN	CCLF_KL1107-Tumor-SM-GL7N9_NA_TN
TSCA22_TN	CCLF_KL1112-Tumor-SM-GL7MJ_NA_TN
TSCA22_TN	CCLF_KL1113-Tumor-SM-GL7NE_NA_TN
TSCA22_TN	CCLF_KL1115-Tumor-SM-GL7LU_NA_TN
TSCA22_TN	CCLF_KL1117-Tumor-SM-GL7MO_NA_TN
TSCA22_TN	CCLF_KL1119-Tumor-SM-GL7N1_NA_TN
TSCA22_TN	CCLF_KL1120-Tumor-SM-GL7MI_NA_TN
TSCA22_TN	CCLF_KL1121-Tumor-SM-GL7O2_NA_TN
TSCA22_TN	CCLF_KL1122-Tumor-SM-GL7N7_NA_TN
TSCA22_TN	CCLF_KL1124-Tumor-SM-GL7ND_NA_TN
TSCA22_TN	CCLF_NB1001-Tumor-SM-GL7NL_NA_TN
TSCA22_TN	CCLF_PEDS1034-Tumor-SM-GL7NB_CCLF_PEDS1034-Normal-SM-F67G4_TN
TSCA22_TN	CCLF_PEDS1040-Tumor-SM-GL7NN_CCLF_PEDS1040-Normal-SM-GL7MM_TN
TSCA22_TN	CCLF_PEDS1041-Tumor-SM-GL7MA_NA_TN
TSCA22_TN	CCLF_PEDS1042-Tumor-SM-GL7MN_NA_TN
TSCA22_TN	CCLF_PEDS1042-Tumor-SM-GL7LY_NA_TN
