entity:sample_id	tumor_tn	cnv_calls	participant_id
CCLF_PEDS1023-Normal-SM-F29S6	NA	NA	CCLF_PEDS1023
CCLF_PEDS1025-Normal-SM-F29S8	NA	NA	CCLF_PEDS1025
CCLF_PEDS1033-Normal-SM-F29SD	NA	NA	CCLF_PEDS1033
CCLF_PEDS1033-Normal-SM-F29SC	NA	NA	CCLF_PEDS1033
CCLF_PEDS1035-Normal-SM-F29SH	NA	NA	CCLF_PEDS1035
CCLF_PEDS1035-Normal-SM-F29SG	NA	NA	CCLF_PEDS1035
CCLF_SS1008-Normal-SM-F29SL	NA	NA	CCLF_SS1008
CCLF_SS1009-Normal-SM-F29SO	NA	NA	CCLF_SS1009
EH026-Normal-SM-F29SV	NA	NA	EH026
EH027-Normal-SM-F29SX	NA	NA	EH027
