method_config	method_name	snapshot	entity
Tumor_Only_Mutect_CNV	Tumor_Only_Mutect_CNV	12	sample
AggregateCoverageStats	AggregateCoverageStats	4	sample_set
CalculateTargetCoverage	CalculateTargetCoverage	14	sample
CallSomaticCNV	CallSomaticCNV	12	sample
CreatePanelOfNormalsGATK	CreatePanelOfNormalsGATK	8	sample_set
CreatePoN	CreatePoN	23	sample_set
DepthOfCov	DepthOfCov	9	sample
DepthOfCovQC	DepthOfCovQC	3	sample
FilterGermlineVariants	FilterGermlineVariants	16	pair
Mutect2_Normal_Only	Mutect2	28	sample
Mutect2_Tumor_Normal	Mutect2	28	pair
Oncotator	Oncotator	3	pair
PlotSomaticCNVMaps	PlotSomaticCNVMaps	13	sample_set
SomaticSNVCalls	SomaticSNVCalls	1	sample
